iter	Passed	Remaining
0	2	2216
1	4	2151
2	6	2199
3	8	2114
4	10	2057
5	12	2057
6	14	2010
7	16	2003
8	17	1979
9	20	2076
10	23	2081
11	25	2069
12	26	2046
13	28	2032
14	30	2003
15	32	1988
16	35	2036
17	37	2020
18	38	2002
19	40	1984
20	42	1973
21	44	1972
22	46	1964
23	48	1956
24	51	1992
25	52	1984
26	54	1975
27	56	1972
28	58	1965
29	60	1954
30	62	1950
31	64	1951
32	68	1992
33	70	1989
34	71	1984
35	73	1981
36	75	1976
37	77	1968
38	81	2005
39	83	2004
40	85	1996
41	87	1991
42	89	1986
43	91	1981
44	93	1978
45	97	2021
46	100	2028
47	101	2022
48	104	2018
49	105	2011
50	108	2009
51	110	2015
52	114	2053
53	116	2046
54	118	2041
55	120	2036
56	122	2031
57	124	2027
58	127	2038
59	129	2031
60	131	2026
61	133	2021
62	135	2018
63	137	2012
64	139	2005
65	143	2033
66	146	2040
67	148	2038
68	150	2033
69	152	2031
70	154	2027
71	159	2049
72	161	2051
73	163	2051
74	166	2050
75	168	2048
76	171	2057
77	174	2059
78	176	2056
79	178	2053
80	180	2049
81	183	2048
82	184	2032
83	187	2048
84	189	2043
85	191	2040
86	193	2032
87	195	2027
88	197	2024
89	199	2020
90	204	2043
91	206	2039
92	208	2034
93	210	2032
94	212	2027
95	215	2029
96	219	2043
97	221	2038
98	223	2033
99	225	2031
100	227	2027
101	229	2024
102	233	2029
103	235	2025
104	237	2020
105	239	2016
106	241	2014
107	243	2011
108	245	2006
109	248	2010
110	250	2006
111	252	2002
112	254	1996
113	256	1991
114	258	1987
115	260	1983
116	262	1983
117	265	1982
118	267	1980
119	269	1976
120	271	1971
121	272	1964
122	274	1959
123	278	1964
124	280	1960
125	282	1957
126	284	1955
127	286	1950
128	288	1948
129	292	1960
130	295	1957
131	297	1954
132	299	1951
133	301	1948
134	303	1946
135	307	1953
136	310	1952
137	312	1951
138	315	1952
139	317	1949
140	319	1948
141	322	1947
142	324	1944
143	326	1940
144	328	1935
145	330	1931
146	332	1929
147	335	1933
148	337	1930
149	340	1927
150	342	1924
151	344	1921
152	346	1918
153	349	1919
154	352	1919
155	354	1917
156	356	1913
157	358	1911
158	361	1910
159	363	1907
160	366	1908
161	368	1905
162	370	1901
163	372	1898
164	374	1894
165	376	1891
166	378	1889
167	381	1890
168	383	1886
169	385	1883
170	387	1879
171	389	1876
172	391	1873
173	395	1876
174	397	1874
175	399	1871
176	402	1869
177	404	1865
178	405	1861
179	407	1857
180	411	1862
181	413	1859
182	416	1857
183	418	1854
184	420	1851
185	422	1848
186	424	1847
187	427	1845
188	429	1842
189	431	1839
190	433	1835
191	435	1831
192	437	1828
193	439	1824
194	441	1821
195	444	1824
196	446	1821
197	449	1818
198	450	1815
199	452	1811
200	455	1810
201	457	1808
202	459	1805
203	461	1802
204	464	1799
205	466	1796
206	467	1792
207	471	1795
208	473	1793
209	475	1789
210	477	1786
211	479	1783
212	481	1780
213	484	1778
214	487	1780
215	490	1780
216	492	1777
217	494	1774
218	496	1771
219	498	1767
220	502	1770
221	504	1767
222	506	1764
223	508	1761
224	510	1757
225	512	1754
226	514	1750
227	518	1754
228	520	1752
229	522	1749
230	524	1746
231	526	1743
232	528	1740
233	531	1740
234	533	1738
235	536	1736
236	539	1736
237	541	1733
238	543	1729
239	545	1726
240	550	1733
241	552	1730
242	554	1726
243	556	1724
244	558	1721
245	561	1720
246	564	1720
247	566	1717
248	568	1714
249	570	1711
250	572	1707
251	574	1704
252	577	1706
253	579	1703
254	582	1700
255	583	1697
256	585	1694
257	588	1692
258	590	1688
259	596	1698
260	598	1694
261	600	1692
262	602	1689
263	604	1686
264	608	1688
265	611	1686
266	613	1683
267	615	1681
268	617	1678
269	620	1676
270	623	1676
271	625	1674
272	627	1671
273	629	1668
274	632	1666
